time_myr,bh_id,mass_msun,vx,vy,vz,x,y,z
100.0031,108659.0,14.4991,0.3829,0.0597,-0.3067,-0.0171,-0.0694,-0.1344
100.0031,108718.0,15.2368,0.538,0.11,0.5457,-0.4679,-0.1339,-0.4801
100.0031,72768.0,6.3726,0.2716,-0.9678,-0.0015,0.1795,-0.3378,-0.0949
100.0031,71259.0,13.6913,-0.1486,-0.0994,-0.0695,3.6447,1.9736,1.119
100.0031,174444.0,7.6523,-0.2834,0.103,0.1755,0.126,0.2676,0.0661
100.0031,75833.0,14.5167,-0.9026,0.33,-0.0201,0.5614,0.2144,0.8262
100.0031,64220.0,8.6695,0.1042,-0.1203,-0.1702,-0.9064,-2.5722,-2.6927
110.0094,140375.0,14.5912,-0.3218,-0.1924,-0.2259,2.0686,0.5838,-2.4436
110.0094,166318.0,7.5585,0.5759,0.6245,0.0912,-0.4302,-0.5566,-0.1707
110.0094,117899.0,4.2905,0.1791,-0.1588,-0.3164,-0.0658,0.0379,0.2348
110.0094,153015.0,6.0758,0.4106,0.1438,0.0446,0.0865,-0.4795,-0.6311
110.0094,64104.0,9.7051,-0.5092,0.2383,0.254,0.1511,0.2475,-0.256
110.0094,180878.0,9.5164,-0.1854,-0.203,0.3727,-0.0096,0.1785,-0.459
110.0094,95268.0,4.3134,-0.181,0.2785,0.5292,-0.2275,-0.563,1.0173
110.0094,149639.0,14.7144,-0.3241,0.0822,-0.1038,-27.593,-11.0863,-10.4268
110.0094,129750.0,3.0212,-0.4767,-0.0616,-0.2586,0.2723,0.3757,0.0173
110.0094,51417.0,5.5832,-0.3354,0.2055,0.1704,0.9615,0.0054,-0.1272
110.0094,83281.0,13.7082,-0.311,-0.3024,0.3357,-0.066,-1.3044,-0.0879
110.0094,75833.0,14.5167,0.053,-0.0954,-0.248,-2.4316,0.0765,-3.2319
110.0094,70657.0,7.6356,0.0015,0.2159,0.1928,3.2112,-2.4788,-3.0977
120.0022,69563.0,14.0088,0.0386,0.0688,-0.4351,0.2713,0.0029,-0.2119
120.0022,3801.0,14.5122,0.2778,0.0589,0.1662,17.5084,22.013,24.5922
120.0022,8420.0,14.4656,0.0111,-0.1453,0.1475,-2.6828,5.9484,3.0121
120.0022,192651.0,6.4873,-0.0519,0.2419,-0.1983,1.1997,0.8798,0.4597
120.0022,178256.0,13.5156,0.0396,0.3521,-0.3475,-1.1954,-1.3163,-0.6048
120.0022,163001.0,13.439,-0.1567,0.0394,-0.0411,5.525,2.1339,-1.0325
120.0022,148002.0,14.5127,-0.6463,-0.5127,0.5056,-0.0096,0.4339,-0.3461
120.0022,109738.0,13.4149,0.2213,0.025,-0.0017,0.2391,-0.0262,-0.2894
120.0022,151114.0,15.3749,0.1104,-0.2957,-0.3569,0.1705,0.9809,0.0442
120.0022,108718.0,15.2368,-0.1661,-0.4305,0.4867,-0.2259,-0.4848,0.2546
120.0022,122616.0,9.0127,0.0819,0.2426,0.0232,0.4328,-0.0986,-0.3975
120.0022,89468.0,7.4357,0.0047,-0.1616,0.0306,0.3921,-1.5663,0.0252
130.0057,139907.0,3.4218,0.3592,-0.2227,0.565,-0.0026,-0.6798,0.2034
130.0057,70895.0,9.3343,0.2656,-0.0751,-0.0116,25.7515,15.235,-2.7928
130.0057,117899.0,4.2905,-0.0187,-0.5219,0.0238,0.0475,0.2444,-0.0822
130.0057,72517.0,13.7305,-0.0661,0.1136,-0.2748,-0.0889,0.1239,0.0899
130.0057,64104.0,9.7051,-0.2501,0.328,-0.0528,0.3941,0.0497,-0.4319
130.0057,106734.0,14.25,-0.3973,0.0814,0.0245,0.1058,-0.0014,-0.0311
130.0057,148002.0,14.5127,-0.2869,-0.073,0.1354,-0.9028,0.9211,-0.3894
130.0057,11293.0,13.7234,-0.578,-0.24,-0.1937,0.3982,-0.0314,-0.0131
130.0057,151114.0,15.3749,-0.1579,-0.4036,0.3005,0.4794,0.118,-0.9216
130.0057,49322.0,5.8873,-0.1383,0.0482,-0.0079,9.2828,-6.0078,4.0435
130.0057,122616.0,9.0127,-0.0289,-0.2142,-0.0567,-0.1176,-0.0654,0.0488
130.0057,89468.0,7.4357,0.0208,-0.574,0.0791,0.1403,1.0262,-0.3755
140.0017,140375.0,14.5912,-0.1796,-0.1231,-0.4054,2.9224,0.734,-0.878
140.0017,113839.0,13.6492,-0.0866,-0.9024,-0.2158,0.1314,0.3556,-0.3836
140.0017,117899.0,4.2905,0.0214,0.1074,-0.1192,0.3424,-0.2076,-0.366
140.0017,153015.0,6.0758,0.0981,-0.4428,-0.3865,-0.2466,-0.3353,-0.4432
140.0017,76537.0,4.2003,0.2686,0.2579,0.2026,0.3007,0.5644,-0.3124
140.0017,193704.0,8.7719,0.2277,0.1869,-0.4042,-0.2827,-0.4985,0.8905
140.0017,93658.0,15.2843,0.0302,0.5751,-0.6405,0.0382,0.2169,-0.2447
140.0017,31157.0,4.0681,0.2755,-0.235,0.1532,-1.1052,-0.7105,-0.9282
140.0017,72768.0,6.3726,0.3715,-0.2318,-0.2641,1.0149,-0.5667,-0.6556
140.0017,48389.0,3.4131,0.086,-0.1451,0.0574,15.2469,-16.26,16.0603
140.0017,156657.0,3.4398,-0.1445,-0.3306,0.3803,0.2615,0.8311,0.3881
140.0017,56351.0,5.8283,-0.0571,-0.5971,-0.4793,-0.4976,-0.0919,0.2081
150.0016,113839.0,13.6492,0.1212,-0.4275,0.6432,0.0444,-0.0125,-0.6836
150.0016,2404.0,13.4115,0.0987,0.333,-0.0715,-0.012,0.1454,-0.2117
150.0016,117899.0,4.2905,0.0569,-0.0841,0.3041,0.0844,0.0585,0.0775
150.0016,153015.0,6.0758,-0.181,0.2505,0.1995,0.9614,0.1343,-0.2942
150.0016,163177.0,5.8858,0.3021,-0.5064,0.1227,0.6547,0.1767,0.0794
150.0016,197898.0,13.525,-0.0186,-0.1004,0.0403,10.1954,-25.874,-3.7094
150.0016,36532.0,15.2231,0.2552,-0.3109,-0.025,-0.7499,1.6065,-0.1796
150.0016,71259.0,13.6913,-0.4936,-0.2517,0.0385,2.0745,1.0353,-0.4589
150.0016,151114.0,15.3749,0.2476,0.021,-0.8617,0.2175,0.3831,-0.2216
150.0016,3838.0,14.7008,-0.3798,0.0475,0.0609,0.3301,0.1518,-0.1823
150.0016,33465.0,3.6539,0.1991,-0.4457,-0.9113,0.116,0.5193,0.2232
150.0016,49322.0,5.8873,-0.2335,0.1757,-0.0801,5.6962,-3.9284,3.2887
160.0014,169516.0,13.409,0.0479,0.0508,0.0319,-0.3289,0.2687,-0.2777
160.0014,106734.0,14.25,0.0894,-0.003,0.055,0.4159,0.1137,-0.1107
160.0014,148820.0,3.808,0.3665,0.2007,0.122,-1.0713,-1.4189,-0.4631
160.0014,144263.0,14.3768,0.0326,0.3282,0.4015,0.2708,-0.1857,-1.8549
160.0014,173068.0,4.3,0.0125,0.0971,0.3229,1.886,-0.4978,1.6943
160.0014,35807.0,13.6554,0.1245,-0.0064,-0.0686,9.4005,8.3955,2.4586
160.0014,26198.0,14.7988,0.3768,0.3143,-0.3006,0.6496,0.201,-0.4494
160.0014,30179.0,8.2729,-0.1891,-0.4113,-0.4327,0.1734,-0.0511,-0.0643
160.0014,148002.0,14.5127,-0.3424,0.1552,-0.0117,1.2944,0.448,-0.8285
160.0014,146887.0,13.9179,0.0587,-0.2071,0.0771,-0.0403,-0.9351,0.8763
160.0014,23052.0,13.819,-0.0396,-0.3047,0.4807,1.6383,0.1891,-1.6507
160.0014,148154.0,9.0111,0.1422,-0.5565,-0.0343,0.232,0.0092,-0.0369
170.0026,129042.0,6.4324,0.3801,-0.2512,0.0761,-0.7731,0.7052,-0.2201
170.0026,122616.0,9.0127,-0.0701,0.3468,0.3862,0.4813,0.0622,-0.2732
170.0026,153015.0,6.0758,0.0193,0.3375,0.0978,0.9969,0.2373,-0.1708
170.0026,115438.0,14.3358,0.302,0.3972,0.1414,0.1566,0.1919,-0.2202
170.0026,160006.0,3.8885,-0.244,-0.2439,-0.0023,1.6167,3.4103,-1.8611
170.0026,72227.0,13.7507,0.3354,0.1741,0.6713,0.0277,0.7533,-0.3983
170.0026,71259.0,13.6913,0.1542,0.085,-0.0412,-3.3365,-1.6427,1.231
170.0026,5776.0,15.4843,0.1442,0.0295,0.1362,6.1473,16.9846,38.9941
170.0026,148477.0,14.0387,-0.1444,-0.117,0.0767,1.4552,1.6451,-1.1472
170.0026,2404.0,13.4115,-0.1959,-0.238,-0.1708,0.3467,-0.1086,-0.2051
170.0026,181570.0,9.5884,-0.1949,0.0352,-0.5479,0.1243,0.4867,-0.5623
180.0006,191873.0,6.4188,-0.2382,-0.318,-0.1455,0.5411,0.1806,-0.341
180.0006,115438.0,14.3358,-0.3871,-0.0995,-0.0037,0.3949,-0.0266,-0.2351
180.0006,148820.0,3.808,0.194,-0.1138,0.097,1.3073,-2.0164,0.6326
180.0006,144263.0,14.3768,0.0279,0.0814,0.2172,0.9587,2.1592,0.1032
180.0006,193704.0,8.7719,0.1417,-0.513,0.4964,0.0323,0.5805,-0.7883
180.0006,154277.0,13.4062,0.0704,-0.1088,0.0826,-0.6103,-0.6608,4.5156
180.0006,69563.0,14.0088,0.3013,0.0127,0.2591,0.1839,0.0641,-0.2765
180.0006,30179.0,8.2729,0.3162,0.5006,0.2859,0.2939,0.1611,-0.4168
180.0006,36532.0,15.2231,-0.0334,0.0795,0.0064,-0.7334,-1.9014,0.6959
180.0006,70657.0,7.6356,-0.2188,0.0613,0.0304,-2.4669,3.505,2.8233
180.0006,159191.0,9.6907,-0.0152,-0.0031,0.1179,-6.5388,-0.513,9.6444
190.0027,129042.0,6.4324,0.0913,-0.0785,-0.2077,1.2765,-0.7828,-1.2787
190.0027,135470.0,3.6647,0.2756,0.1473,0.091,0.8029,-0.5332,-1.1079
190.0027,165870.0,14.561,0.2274,0.0537,0.2857,-0.1515,-0.3241,-1.6819
190.0027,153015.0,6.0758,0.1379,0.3987,0.0312,0.9232,0.2504,-0.2209
190.0027,65431.0,10.1381,0.0112,-0.0537,-0.2541,0.2269,-0.1392,-0.5057
190.0027,163001.0,13.439,-0.2442,-0.096,0.0988,-4.6797,0.5722,0.2835
190.0027,82025.0,13.4732,-0.1161,0.2155,0.0584,-0.4299,-1.1364,-0.4361
190.0027,11293.0,13.7234,0.2237,0.1532,0.0653,-0.1094,-0.0292,-0.3549
190.0027,151114.0,15.3749,0.0282,0.517,0.4602,0.1573,0.0591,0.2459
190.0027,109738.0,13.4149,0.0117,0.1267,-0.1528,0.1773,0.1438,-0.4099
190.0027,75833.0,14.5167,0.5426,-0.6108,-0.0718,0.3946,-0.6991,-1.36
190.0027,56351.0,5.8283,-0.4713,-0.1934,0.0337,0.2073,0.915,0.4719
200.0063,139907.0,3.4218,0.4374,0.1978,0.0897,-0.142,-0.7781,0.3216
200.0063,106075.0,13.5899,-0.5957,0.1477,0.5522,1.291,0.8994,-1.2168
200.0063,178166.0,14.3481,-0.2875,-0.5105,-0.3877,0.4424,0.474,-0.3177
200.0063,151795.0,7.489,-0.0734,0.0698,0.0514,-0.4515,-6.0276,-2.4081
200.0063,119939.0,3.8947,-0.5472,0.3123,0.3521,0.318,-0.1656,-0.6137
200.0063,147388.0,3.9137,0.3044,0.1083,-0.3148,0.4193,-0.8824,0.0488
200.0063,31157.0,4.0681,0.2398,0.1333,0.1188,0.8056,-1.7221,0.4567
200.0063,30179.0,8.2729,0.2755,0.263,-0.192,-0.0056,-0.4691,-0.3654
200.0063,145275.0,13.4231,-0.442,0.1424,-0.2134,0.4205,0.0044,-0.4646
200.0063,2404.0,13.4115,0.1144,0.1214,0.1136,0.2314,-0.0388,-0.4078
200.0063,48389.0,3.4131,0.0502,-0.1552,0.0037,19.1893,-25.3147,17.806
210.0004,56793.0,14.5857,-0.2905,-0.2091,-0.0014,0.4473,-0.3151,-0.1427
210.0004,122262.0,13.4132,0.0451,-0.0001,-0.2984,-1.4314,-0.0791,-1.267
210.0004,8420.0,14.4656,-0.1216,-0.3922,0.1141,0.2219,3.7174,2.1639
