time_myr,bh_id,mass_msun,vx,vy,vz,x,y,z
30.0002,152251.0,15.2044,-0.619,0.08,-0.538,-2.6714,-0.9818,-3.0738
30.0002,154277.0,13.4062,0.1789,-0.0466,0.0963,2.5662,-1.6362,4.1914
30.0002,154468.0,13.8525,1.143,1.0701,0.536,7.3309,6.0405,5.2614
30.0002,106734.0,14.25,-0.1579,0.3223,-0.5891,-0.0196,0.0996,0.0246
30.0002,156057.0,8.9361,-0.8576,-1.4353,-1.1282,-2.1827,-1.7568,-0.8977
30.0002,35807.0,13.6554,0.1028,0.2439,-0.3769,1.1275,4.2756,-2.3109
30.0002,157307.0,8.3793,0.6327,0.2332,0.5586,-0.7872,-0.7244,-1.0216
30.0002,125849.0,13.8262,1.7403,-0.3536,0.246,12.8135,-1.8254,1.6368
30.0002,149981.0,13.4453,-1.6128,-0.9638,0.3133,-15.4459,-10.0315,3.8507
30.0002,158304.0,8.8941,1.3235,-0.5458,-0.8324,5.1411,-3.5276,1.5656
30.0002,163001.0,13.439,-0.1368,-0.161,0.0409,-4.8078,-0.9516,-0.8626
30.0002,164871.0,13.412,0.6191,0.0275,-0.1738,6.7414,1.8352,-1.1758
30.0002,164961.0,13.8028,0.6855,0.1581,0.7495,7.4358,0.6515,6.7823
30.0002,165039.0,13.5031,-0.3467,0.6655,-1.1441,-3.0863,4.3675,-13.1877
30.0002,197898.0,13.525,0.2863,-0.3497,-0.1497,1.4195,-4.6067,-3.9798
30.0002,115438.0,14.3358,-0.2084,0.1197,-0.0503,-0.0323,0.0227,0.1233
30.0002,99118.0,13.6538,-0.9276,0.9063,-0.5367,-9.6918,6.6807,-4.8729
30.0002,198559.0,10.4646,-1.0404,0.3111,0.7576,-3.0983,1.2237,2.5311
30.0002,171973.0,14.178,1.3342,-1.0978,-1.2915,7.9204,-6.5477,-7.9151
30.0002,23397.0,14.4371,0.0977,-1.3661,-0.2232,1.7025,-6.4096,-2.0951
30.0002,97109.0,13.4185,0.4998,0.0737,1.1178,3.9321,0.7305,11.2958
30.0002,23713.0,14.5416,1.0946,0.4788,-0.8336,6.0419,2.9652,-4.7466
30.0002,95001.0,13.4589,0.981,0.7457,-0.6485,7.9439,5.8984,-6.2811
30.0002,30346.0,13.4309,0.2955,-0.8326,-1.4201,1.7169,-6.5992,-11.8238
30.0002,31922.0,9.336,-1.1332,0.4542,-0.7686,-1.7631,0.2621,-0.2716
30.0002,119701.0,13.5403,0.391,-0.4025,-0.1723,0.142,-0.1927,-0.2317
30.0002,100700.0,14.135,0.4738,-1.0105,-1.3658,3.5485,-6.46,-9.6209
30.0002,46034.0,10.1615,-1.9828,1.1973,-1.2907,-5.8142,3.1348,-3.1225
30.0002,37197.0,13.4125,0.1201,0.8991,0.0215,3.4816,8.6031,0.8535
30.0002,119272.0,10.3173,-0.3389,0.1315,0.163,0.1896,0.2126,-0.2956
30.0002,3838.0,14.7008,-0.3568,0.7177,0.0375,-0.0107,0.2754,-0.0908
30.0002,41437.0,14.4614,-0.2294,1.3957,0.1283,-2.5598,7.29,1.676
30.0002,41660.0,14.7604,0.496,1.4347,2.7505,5.9149,17.2171,33.8177
30.0002,148161.0,13.4077,2.1675,-0.4881,1.5352,19.9541,-3.5251,14.4569
30.0002,149639.0,14.7144,-0.4333,-0.4925,-0.1748,-2.223,-3.2428,0.2536
30.0002,166956.0,13.7219,0.5583,0.4027,-0.1324,4.7066,4.4383,-1.0481
30.0002,184090.0,15.3718,0.5513,0.9138,0.0086,2.557,3.9082,0.1002
30.0002,36532.0,15.2231,-0.0056,-0.1262,0.0419,0.0215,-2.2894,0.4843
30.0002,45373.0,10.448,-1.4278,-1.5583,-1.6087,-3.7302,-4.5343,-3.7283
30.0002,45621.0,14.9732,-2.7323,0.3241,-0.2233,-12.5767,-0.0144,-0.4285
30.0002,148002.0,14.5127,-0.2819,-0.8507,0.2911,-0.3359,0.5181,-0.2344
30.0002,159191.0,9.6907,0.5809,0.0037,0.613,0.954,-0.283,1.6789
30.0002,11293.0,13.7234,-0.5589,0.7525,0.4881,-0.0876,0.0328,0.1159
30.0002,145275.0,13.4231,-0.2648,0.4013,0.1706,-0.1928,-0.0542,-0.1972
30.0002,56793.0,14.5857,-0.1486,0.4904,-0.4369,-0.494,-0.443,-0.1481
30.0002,26850.0,13.9538,1.3977,0.7537,-1.0702,9.4458,5.7291,-7.1861
30.0002,95987.0,14.395,0.243,-0.1694,-0.4819,2.069,-3.5973,-6.285
30.0002,501.0,14.9503,0.0625,-0.1001,-0.5542,0.9226,-1.5962,-3.3848
30.0002,1094.0,13.7379,-1.8208,0.1685,0.4656,-20.0695,-0.886,4.6653
30.0002,1481.0,15.0456,2.4041,1.1215,-0.3291,10.7166,5.6219,-0.7484
30.0002,3731.0,9.7209,-0.1097,-1.364,-1.1877,-0.8526,-3.4164,-4.0402
30.0002,5776.0,15.4843,-0.3249,0.1658,0.7827,-1.8111,-0.6454,1.5059
30.0002,6491.0,10.6752,1.601,-0.6424,0.6247,5.5967,-1.761,2.1161
30.0002,6573.0,8.9693,-0.4782,-1.0778,1.043,-0.1968,-1.0518,3.2229
30.0002,37379.0,13.4212,-0.5453,-0.7764,-0.3173,-4.5182,-8.7125,-3.6071
30.0002,48328.0,8.3566,1.2808,-1.0669,1.2774,-0.243,0.9713,3.498
30.0002,74895.0,14.327,-0.2281,-0.0685,-0.318,0.4863,0.2865,1.4586
30.0002,11714.0,13.5427,0.307,1.0289,-0.0069,2.2999,9.3345,0.3848
30.0002,14326.0,10.6302,-0.1609,2.0292,-0.6697,-0.6823,6.8979,-1.6869
30.0002,153849.0,14.3306,0.2253,-0.994,1.0252,1.4809,-6.1828,6.3188
30.0002,71259.0,13.6913,0.0089,0.0445,0.0749,-1.8155,-1.7813,-2.8369
30.0002,23052.0,13.819,0.1012,-0.1329,0.2533,3.1095,0.3238,0.0625
30.0002,15035.0,15.2946,1.8403,-0.1394,0.9549,7.4839,-0.3492,3.8154
30.0002,26128.0,14.146,0.5578,0.2853,0.5491,3.9362,1.836,4.5549
30.0002,26198.0,14.7988,0.6776,0.0682,-0.4675,0.5128,0.052,-0.3062
30.0002,26298.0,15.1883,-1.225,-1.2717,0.6002,-5.3778,-5.2449,1.7843
30.0002,10566.0,14.2732,-0.7821,-2.2793,0.4906,-7.4219,-27.9265,7.561
30.0002,51563.0,13.9247,-1.5499,1.3238,0.4563,-10.3077,7.3807,2.399
30.0002,171103.0,13.5958,-0.417,-0.4583,-0.642,-3.7239,-4.2421,-5.9272
30.0002,55025.0,9.9359,2.121,-0.039,0.5806,4.5525,1.0113,0.1672
30.0002,146887.0,13.9179,-0.3143,-0.712,0.4728,-0.1125,0.6508,-0.4115
30.0002,106438.0,13.4257,-0.2032,0.5942,-1.4968,-2.617,5.6871,-14.5267
30.0002,181570.0,9.5884,0.0349,-0.0339,0.2775,-0.1315,-0.8784,0.3774
30.0002,39917.0,13.4263,0.1619,-0.6641,0.4598,2.1611,-7.5012,5.1405
30.0002,108718.0,15.2368,-0.3086,0.0225,-0.3516,1.0022,0.2755,0.4687
30.0002,82025.0,13.4732,-0.1769,-0.8384,0.8236,0.2196,0.1513,-0.2494
30.0002,60751.0,13.5213,-0.0495,0.3235,0.0387,0.1212,0.244,-0.0687
30.0002,82629.0,14.0212,0.6367,0.143,-0.3528,5.5946,2.4045,-3.0706
30.0002,82943.0,14.9141,-1.1415,0.0931,-2.0714,-14.6935,0.8907,-24.9609
30.0002,77052.0,14.6265,0.614,-0.8272,0.0672,9.3912,-7.537,0.1052
30.0002,83281.0,13.7082,-0.2903,1.1551,-0.1356,-0.2281,-0.0601,0.3419
30.0002,112037.0,15.4367,-1.743,-0.8629,0.6419,-6.8297,-3.433,2.2366
30.0002,93658.0,15.2843,-0.0993,-0.1831,0.3447,0.7979,0.3477,-0.5838
30.0002,83017.0,13.4253,0.0398,-0.4778,0.4953,-0.1894,-0.6201,-0.9038
30.0002,111296.0,15.2907,0.5054,0.8171,-0.1662,2.6159,3.6262,-2.0767
30.0002,160979.0,10.106,-0.2172,-2.1817,-1.5636,0.5046,-4.8757,-3.9778
30.0002,90914.0,13.5114,0.1031,2.0059,0.439,-0.236,21.9239,6.2392
30.0002,91864.0,13.4724,-0.0038,0.2979,-0.5841,-1.1812,4.2213,-5.9934
30.0002,92648.0,13.4541,0.6725,-0.0061,0.0989,5.9983,-1.4424,2.3966
30.0002,94525.0,13.5936,-0.802,0.428,0.2103,-7.9587,2.6378,2.1694
30.0002,27038.0,13.4311,-0.0762,1.9641,-0.1878,-1.4652,17.5171,-1.4245
30.0002,122616.0,9.0127,-0.1576,0.3979,-0.1699,0.2472,-0.2102,-0.3243
30.0002,149955.0,13.5494,0.7705,-1.1852,-0.5061,6.9548,-9.4929,-4.3349
30.0002,72517.0,13.7305,-0.4667,-0.7033,-0.0117,-0.1863,-0.13,-0.2215
30.0002,55313.0,13.4791,0.6295,1.0009,-0.6428,6.2892,9.6755,-3.1785
30.0002,75833.0,14.5167,-0.1919,-0.0194,-0.0942,-1.2746,1.0701,4.0139
30.0002,55049.0,13.5946,-0.8199,-0.6694,-0.6326,-8.8766,-8.144,-6.8896
